domisili;belajar;kelas;durasi_belajar;jumlah_keluarga;cita_cita;minat_belajar
Rumah;Iya_belajar;11;30;3;Saya_punya_cita-cita;0
Rumah;Iya_belajar;11;30;4;Saya_punya_cita-cita;0
Rumah;Iya_belajar;11;30;2;Saya_punya_cita-cita;0
Rumah;Iya_belajar;11;60;5;Saya_punya_cita-cita;0
Rumah;Iya_belajar;11;60;3;Saya_punya_cita-cita;0
Rumah;Tidak_belajar;11;0;1;Tidak_punya_cita-cita;0
Pondok;Iya_belajar;12;60;2;Saya_punya_cita-cita;0
Pondok;Iya_belajar;12;30;2;Saya_punya_cita-cita;0
Pondok;Jarang_belajar;12;30;3;Saya_punya_cita-cita;0
Pondok;Iya_belajar;12;60;3;Saya_punya_cita-cita;0
Pondok;Iya_belajar;12;60;3;Saya_punya_cita-cita;0
Rumah;Iya_belajar;11;30;4;Saya_punya_cita-cita;0
Pondok;Iya_belajar;12;30;3;Saya_punya_cita-cita;0
Rumah;Jarang_belajar;11;60;5;Saya_punya_cita-cita;1
Pondok;Iya_belajar;12;30;3;Saya_punya_cita-cita;0
Pondok;Iya_belajar;12;30;4;Saya_punya_cita-cita;0
Rumah;Iya_belajar;11;60;2;Saya_punya_cita-cita;0
Pondok;Iya_belajar;11;30;3;Saya_punya_cita-cita;0
Rumah;Jarang_belajar;9;0;5;Saya_punya_cita-cita;0
Pondok;Iya_belajar;11;60;3;Saya_punya_cita-cita;0
Rumah;Jarang_belajar;11;2;5;Saya_punya_cita-cita;0
Rumah;Iya_belajar;11;60;4;Saya_punya_cita-cita;0
Pondok;Jarang_belajar;10;90;1;Saya_punya_cita-cita;0
Pondok;Jarang_belajar;10;60;2;Saya_punya_cita-cita;0
Pondok;Iya_belajar;10;30;3;Saya_punya_cita-cita;0
Pondok;Jarang_belajar;10;120;5;Saya_punya_cita-cita;0
Pondok;Jarang_belajar;11;90;3;Saya_punya_cita-cita;0
Pondok;Jarang_belajar;10;90;4;Saya_punya_cita-cita;0
Pondok;Iya_belajar;10;90;3;Saya_punya_cita-cita;0
Pondok;Iya_belajar;10;90;3;Saya_punya_cita-cita;0
Pondok;Jarang_belajar;10;60;4;Saya_punya_cita-cita;0
Rumah;Tidak_belajar;10;0;1;Tidak_punya_cita-cita;1
Pondok;Jarang_belajar;9;0;4;Tidak_punya_cita-cita;1
Rumah;Tidak_belajar;10;0;2;Tidak_punya_cita-cita;1
Rumah;Tidak_belajar;11;0;2;Saya_punya_cita-cita;1
Pondok;Iya_belajar;11;30;3;Tidak_punya_cita-cita;1
